date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-03-18,2.4419554296163706,1.2414188398168857,3.602721095123989,41273568614
2025-03-19,2.4427885499155817,1.2131888796886323,3.607532001495801,41273568614
2025-03-20,2.4436216702147924,1.2568143639003544,3.623125977447072,41273568614
2025-03-21,2.444454790514003,1.2604532426271728,3.6551525939801426,41273568614
2025-03-22,2.4452879108132137,1.3089059217519887,3.6006787657466903,41273568614
2025-03-23,2.446121031112425,1.2154795239928569,3.60614831630116,41273568614
2025-03-24,2.4469541514116355,1.3139306422479566,3.683363277922872,41273568614
2025-02-25,7.285710583665994,7.285710582579476,7.285710584831762,41276985638
2025-02-26,7.571424869399289,7.5714248681866945,7.5714248706304375,41276985638
2025-02-27,7.857139155132588,7.857139153838513,7.857139156291525,41276985638
2025-02-28,8.142853440865887,8.142853439450565,8.142853442283595,41276985638
2025-03-01,8.428567726599185,8.428567725159539,8.428567728219376,41276985638
2025-03-02,8.714282012332482,8.714282010630885,8.71428201407493,41276985638
2025-03-03,8.999996298065781,8.999996295837892,8.999996300166723,41276985638
2025-03-04,9.28571058379908,9.285710580928093,9.28571058629867,41276985638
2025-03-05,9.571424869532377,9.57142486564742,9.571424873140161,41276985638
2025-03-06,9.857139155265676,9.857139150606832,9.85713915940314,41276985638
2025-03-07,10.142853440998975,10.142853434589158,10.142853446852156,41276985638
2025-03-08,10.428567726732274,10.428567719248257,10.428567734250457,41276985638
2025-03-09,10.714282012465569,10.714282003248925,10.714282021087735,41276985638
2025-03-10,10.999996298198868,10.999996287769152,10.999996308566637,41276985638
2025-03-11,11.285710583932167,11.285710571488794,11.28571059625143,41276985638
2025-03-12,11.571424869665462,11.571424855683572,11.571424883739535,41276985638
2025-03-13,11.85713915539876,11.857139139899141,11.857139171354248,41276985638
2025-03-14,12.14285344113206,12.14285342319948,12.142853459298403,41276985638
2025-03-15,12.428567726865358,12.428567707554572,12.428567746651696,41276985638
2025-03-16,12.714282012598657,12.714281992068315,12.714282034157316,41276985638
2025-03-17,12.999996298331956,12.999996275281696,12.999996321804582,41276985638
2025-03-18,13.285710584065251,13.285710559323858,13.285710610426673,41276985638
2025-03-19,13.571424869798554,13.571424842649865,13.571424898244143,41276985638
2025-03-20,13.857139155531849,13.857139126975603,13.857139185990217,41276985638
2025-03-21,14.142853441265148,14.142853410493174,14.142853473948033,41276985638
2025-03-22,14.428567726998448,14.428567693829068,14.42856776204496,41276985638
2025-03-23,14.714282012731744,14.714281977695387,14.71428204991963,41276985638
2025-03-24,14.999996298465046,14.999996260589676,14.999996337890074,41276985638
2025-02-18,109.90443163035172,102.94564746115144,117.17081025842451,41491392694
2025-02-19,110.43952772561039,103.16766705991529,116.74341199227135,41491392694
2025-02-20,110.97462382086908,104.00230708353074,117.68184757836819,41491392694
2025-02-21,111.50971991612775,104.75775688647859,118.09071915099086,41491392694
2025-02-22,112.04481601138644,105.52692756162884,118.42209285386754,41491392694
2025-02-23,112.57991210664511,105.85601992385475,119.25360516097676,41491392694
2025-02-24,113.1150082019038,106.62071380366663,119.5575645044468,41491392694
2025-02-25,113.6501042971625,107.12389021483234,120.30708159884753,41491392694
2025-02-26,114.18520039242117,107.46027475211288,121.2036906315239,41491392694
2025-02-27,114.72029648767983,108.03392232692703,121.5271321816264,41491392694
2025-02-28,115.25539258293853,108.63601779930414,121.59055811596406,41491392694
2025-03-01,115.79048867819719,109.08036854892167,122.39076027683099,41491392694
2025-03-02,116.32558477345589,109.86892397035672,123.0319557592317,41491392694
2025-03-03,116.86068086871455,110.4635713125408,123.8569980540006,41491392694
2025-03-04,117.39577696397322,111.37801012014765,124.19370692184201,41491392694
2025-03-05,117.93087305923191,111.50138953272275,124.38186415388883,41491392694
2025-03-06,118.46596915449058,111.56675695448787,125.18974424028572,41491392694
2025-03-07,119.00106524974927,112.38424056176969,125.94801761528583,41491392694
2025-03-08,119.53616134500794,113.51825668008777,126.35066229168976,41491392694
2025-03-09,120.07125744026666,113.64748072379388,126.58129220983317,41491392694
2025-03-10,120.60635353552533,113.94251049191602,127.19718304331056,41491392694
2025-03-11,121.141449630784,114.12489447996647,127.4832052440909,41491392694
2025-03-12,121.67654572604266,115.07164031313454,128.38502807597183,41491392694
2025-03-13,122.21164182130136,115.68812962434993,128.98351891789065,41491392694
2025-03-14,122.74673791656005,116.05250237078967,129.35412695565716,41491392694
2025-03-15,123.28183401181872,116.69797157393363,129.96517155168743,41491392694
2025-03-16,123.81693010707738,117.01601178951384,130.6034026342165,41491392694
2025-03-17,124.35202620233605,117.84752305546913,131.11475536204168,41491392694
